trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",35,3,-133.3465303112633,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-41.612226816252374,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-34.49384704672154,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,0,-25.68871023944848,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,7,-23.325271224098096,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-90.14126373866242,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-63.708487833126064,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,0,-9.895872725914206,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.5015760690660556}",30,0,-98.1081050099052,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.4965853037914095}",20,1,-76.52930478019698,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,11,-84.27921181365647,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",35,0,-47.79632024350796,"{0: 27, 1: 0, 2: 8, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,0,-85.13036195660774,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,8,14.496007285146419,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,0,-57.59280739900127,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,12,8.16630383587751,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-64.50683472520235,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,5,-6.813106633112476,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
